mesec,obcina,drzava,meritev,vrednost
2020M03,Maribor,2.18 Litva,Prihodi turistov,2
2020M03,Maribor,2.18 Litva,Prenočitve turistov,11
2020M03,Maribor,2.19 Luksemburg,Prihodi turistov,
2020M03,Maribor,2.19 Luksemburg,Prenočitve turistov,
2020M03,Maribor,2.20 Madžarska,Prihodi turistov,84
2020M03,Maribor,2.20 Madžarska,Prenočitve turistov,256
2020M03,Maribor,2.21 Makedonija,Prihodi turistov,30
2020M03,Maribor,2.21 Makedonija,Prenočitve turistov,257
2020M03,Maribor,2.22 Malta,Prihodi turistov,
2020M03,Maribor,2.22 Malta,Prenočitve turistov,
2020M03,Maribor,2.23 Nemčija,Prihodi turistov,238
2020M03,Maribor,2.23 Nemčija,Prenočitve turistov,534
2020M03,Maribor,2.24 Nizozemska,Prihodi turistov,36
2020M03,Maribor,2.24 Nizozemska,Prenočitve turistov,101
2020M03,Maribor,2.25 Norveška,Prihodi turistov,1
2020M03,Maribor,2.25 Norveška,Prenočitve turistov,5
2020M03,Maribor,2.26 Poljska,Prihodi turistov,39
2020M03,Maribor,2.26 Poljska,Prenočitve turistov,443
2020M03,Maribor,2.27 Portugalska,Prihodi turistov,6
2020M03,Maribor,2.27 Portugalska,Prenočitve turistov,196
2020M03,Maribor,2.28 Romunija,Prihodi turistov,66
2020M03,Maribor,2.28 Romunija,Prenočitve turistov,409
2020M03,Maribor,2.29 Ruska federacija,Prihodi turistov,72
2020M03,Maribor,2.29 Ruska federacija,Prenočitve turistov,277
2020M03,Maribor,2.30 Slovaška,Prihodi turistov,24
2020M03,Maribor,2.30 Slovaška,Prenočitve turistov,318
2020M03,Maribor,2.31 Srbija,Prihodi turistov,281
2020M03,Maribor,2.31 Srbija,Prenočitve turistov,1160
2020M03,Maribor,2.32 Španija,Prihodi turistov,88
2020M03,Maribor,2.32 Španija,Prenočitve turistov,320
2020M03,Maribor,2.33 Švedska,Prihodi turistov,17
2020M03,Maribor,2.33 Švedska,Prenočitve turistov,167
2020M03,Maribor,2.34 Švica,Prihodi turistov,20
2020M03,Maribor,2.34 Švica,Prenočitve turistov,64
2020M03,Maribor,2.35 Turčija,Prihodi turistov,8
2020M03,Maribor,2.35 Turčija,Prenočitve turistov,813
2020M03,Maribor,2.36 Ukrajina,Prihodi turistov,31
2020M03,Maribor,2.36 Ukrajina,Prenočitve turistov,305
2020M03,Maribor,2.37 Združeno kraljestvo,Prihodi turistov,41
2020M03,Maribor,2.37 Združeno kraljestvo,Prenočitve turistov,149
2020M03,Maribor,2.38 Druge evropske države,Prihodi turistov,39
2020M03,Maribor,2.38 Druge evropske države,Prenočitve turistov,376
2020M03,Maribor,2.39 Južna Afrika,Prihodi turistov,
2020M03,Maribor,2.39 Južna Afrika,Prenočitve turistov,
2020M03,Maribor,2.40 Druge afriške države,Prihodi turistov,11
2020M03,Maribor,2.40 Druge afriške države,Prenočitve turistov,267
2020M03,Maribor,2.41 Avstralija,Prihodi turistov,5
2020M03,Maribor,2.41 Avstralija,Prenočitve turistov,12
2020M03,Maribor,2.42 Nova Zelandija,Prihodi turistov,1
2020M03,Maribor,2.42 Nova Zelandija,Prenočitve turistov,2
2020M03,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2020M03,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2020M03,Maribor,2.44 Izrael,Prihodi turistov,3
2020M03,Maribor,2.44 Izrael,Prenočitve turistov,10
2020M03,Maribor,2.45 Japonska,Prihodi turistov,5
2020M03,Maribor,2.45 Japonska,Prenočitve turistov,5
2020M03,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,3
2020M03,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,69
2020M03,Maribor,2.47 Koreja (Republika),Prihodi turistov,
2020M03,Maribor,2.47 Koreja (Republika),Prenočitve turistov,
2020M03,Maribor,2.48 Druge azijske države,Prihodi turistov,17
2020M03,Maribor,2.48 Druge azijske države,Prenočitve turistov,131
2020M03,Maribor,2.49 Brazilija,Prihodi turistov,2
2020M03,Maribor,2.49 Brazilija,Prenočitve turistov,60
2020M03,Maribor,2.50 Druge države Južne in Srednje Amerike,Prihodi turistov,15
2020M03,Maribor,2.50 Druge države Južne in Srednje Amerike,Prenočitve turistov,63
2020M03,Maribor,2.51 Kanada,Prihodi turistov,5
2020M03,Maribor,2.51 Kanada,Prenočitve turistov,6
2020M03,Maribor,2.52 Združene države (ZDA),Prihodi turistov,27
2020M03,Maribor,2.52 Združene države (ZDA),Prenočitve turistov,61
2020M03,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prihodi turistov,
2020M03,Maribor,2.53 Druge države in ozemlja Severne Amerike,Prenočitve turistov,
2020M04,Maribor,0 Država - SKUPAJ,Prihodi turistov,0
2020M04,Maribor,0 Država - SKUPAJ,Prenočitve turistov,4261
2020M04,Maribor,1 DOMAČI,Prihodi turistov,0
2020M04,Maribor,1 DOMAČI,Prenočitve turistov,66
2020M04,Maribor,2 TUJI,Prihodi turistov,0
2020M04,Maribor,2 TUJI,Prenočitve turistov,4195
2020M04,Maribor,2.1 Avstrija,Prihodi turistov,0
2020M04,Maribor,2.1 Avstrija,Prenočitve turistov,30
2020M04,Maribor,2.2 Belgija,Prihodi turistov,
2020M04,Maribor,2.2 Belgija,Prenočitve turistov,
2020M04,Maribor,2.3 Bolgarija,Prihodi turistov,0
2020M04,Maribor,2.3 Bolgarija,Prenočitve turistov,165
2020M04,Maribor,2.4 Bosna in Hercegovina,Prihodi turistov,0
2020M04,Maribor,2.4 Bosna in Hercegovina,Prenočitve turistov,120
2020M04,Maribor,2.5 Ciper,Prihodi turistov,
2020M04,Maribor,2.5 Ciper,Prenočitve turistov,
2020M04,Maribor,2.6 Češka republika,Prihodi turistov,0
2020M04,Maribor,2.6 Češka republika,Prenočitve turistov,300
2020M04,Maribor,2.7 Črna gora,Prihodi turistov,0
2020M04,Maribor,2.7 Črna gora,Prenočitve turistov,90
2020M04,Maribor,2.8 Danska,Prihodi turistov,
2020M04,Maribor,2.8 Danska,Prenočitve turistov,
2020M04,Maribor,2.9 Estonija,Prihodi turistov,
2020M04,Maribor,2.9 Estonija,Prenočitve turistov,
2020M04,Maribor,2.10 Finska,Prihodi turistov,0
2020M04,Maribor,2.10 Finska,Prenočitve turistov,60
2020M04,Maribor,2.11 Francija,Prihodi turistov,0
2020M04,Maribor,2.11 Francija,Prenočitve turistov,300
2020M04,Maribor,2.12 Grčija,Prihodi turistov,0
2020M04,Maribor,2.12 Grčija,Prenočitve turistov,30
2020M04,Maribor,2.13 Hrvaška,Prihodi turistov,0
2020M04,Maribor,2.13 Hrvaška,Prenočitve turistov,150
2020M04,Maribor,2.14 Irska,Prihodi turistov,
2020M04,Maribor,2.14 Irska,Prenočitve turistov,
2020M04,Maribor,2.15 Islandija,Prihodi turistov,
2020M04,Maribor,2.15 Islandija,Prenočitve turistov,
2020M04,Maribor,2.16 Italija,Prihodi turistov,0
2020M04,Maribor,2.16 Italija,Prenočitve turistov,30
2020M04,Maribor,2.17 Latvija,Prihodi turistov,
2020M04,Maribor,2.17 Latvija,Prenočitve turistov,
2020M04,Maribor,2.18 Litva,Prihodi turistov,
2020M04,Maribor,2.18 Litva,Prenočitve turistov,
2020M04,Maribor,2.19 Luksemburg,Prihodi turistov,
2020M04,Maribor,2.19 Luksemburg,Prenočitve turistov,
2020M04,Maribor,2.20 Madžarska,Prihodi turistov,0
2020M04,Maribor,2.20 Madžarska,Prenočitve turistov,60
2020M04,Maribor,2.21 Makedonija,Prihodi turistov,0
2020M04,Maribor,2.21 Makedonija,Prenočitve turistov,150
2020M04,Maribor,2.22 Malta,Prihodi turistov,
2020M04,Maribor,2.22 Malta,Prenočitve turistov,
2020M04,Maribor,2.23 Nemčija,Prihodi turistov,0
2020M04,Maribor,2.23 Nemčija,Prenočitve turistov,90
2020M04,Maribor,2.24 Nizozemska,Prihodi turistov,
2020M04,Maribor,2.24 Nizozemska,Prenočitve turistov,
2020M04,Maribor,2.25 Norveška,Prihodi turistov,
2020M04,Maribor,2.25 Norveška,Prenočitve turistov,
2020M04,Maribor,2.26 Poljska,Prihodi turistov,0
2020M04,Maribor,2.26 Poljska,Prenočitve turistov,240
2020M04,Maribor,2.27 Portugalska,Prihodi turistov,0
2020M04,Maribor,2.27 Portugalska,Prenočitve turistov,180
2020M04,Maribor,2.28 Romunija,Prihodi turistov,0
2020M04,Maribor,2.28 Romunija,Prenočitve turistov,50
2020M04,Maribor,2.29 Ruska federacija,Prihodi turistov,0
2020M04,Maribor,2.29 Ruska federacija,Prenočitve turistov,47
2020M04,Maribor,2.30 Slovaška,Prihodi turistov,0
2020M04,Maribor,2.30 Slovaška,Prenočitve turistov,210
2020M04,Maribor,2.31 Srbija,Prihodi turistov,0
2020M04,Maribor,2.31 Srbija,Prenočitve turistov,104
2020M04,Maribor,2.32 Španija,Prihodi turistov,0
2020M04,Maribor,2.32 Španija,Prenočitve turistov,210
2020M04,Maribor,2.33 Švedska,Prihodi turistov,
2020M04,Maribor,2.33 Švedska,Prenočitve turistov,
2020M04,Maribor,2.34 Švica,Prihodi turistov,
2020M04,Maribor,2.34 Švica,Prenočitve turistov,
2020M04,Maribor,2.35 Turčija,Prihodi turistov,0
2020M04,Maribor,2.35 Turčija,Prenočitve turistov,748
2020M04,Maribor,2.36 Ukrajina,Prihodi turistov,0
2020M04,Maribor,2.36 Ukrajina,Prenočitve turistov,77
2020M04,Maribor,2.37 Združeno kraljestvo,Prihodi turistov,0
2020M04,Maribor,2.37 Združeno kraljestvo,Prenočitve turistov,50
2020M04,Maribor,2.38 Druge evropske države,Prihodi turistov,0
2020M04,Maribor,2.38 Druge evropske države,Prenočitve turistov,300
2020M04,Maribor,2.39 Južna Afrika,Prihodi turistov,
2020M04,Maribor,2.39 Južna Afrika,Prenočitve turistov,
2020M04,Maribor,2.40 Druge afriške države,Prihodi turistov,0
2020M04,Maribor,2.40 Druge afriške države,Prenočitve turistov,210
2020M04,Maribor,2.41 Avstralija,Prihodi turistov,
2020M04,Maribor,2.41 Avstralija,Prenočitve turistov,
2020M04,Maribor,2.42 Nova Zelandija,Prihodi turistov,
2020M04,Maribor,2.42 Nova Zelandija,Prenočitve turistov,
2020M04,Maribor,2.43 Druge države in ozemlja Oceanije,Prihodi turistov,
2020M04,Maribor,2.43 Druge države in ozemlja Oceanije,Prenočitve turistov,
2020M04,Maribor,2.44 Izrael,Prihodi turistov,
2020M04,Maribor,2.44 Izrael,Prenočitve turistov,
2020M04,Maribor,2.45 Japonska,Prihodi turistov,
2020M04,Maribor,2.45 Japonska,Prenočitve turistov,
2020M04,Maribor,2.46 Kitajska (Ljudska republika),Prihodi turistov,0
2020M04,Maribor,2.46 Kitajska (Ljudska republika),Prenočitve turistov,41
